Artist Name,Country,Region,Genre,Selected
Timati,Russian Federation,Central/Eastern Europe,Hip Hop,True
Klava Koka,Russian Federation,Central/Eastern Europe,Pop,True
Jony,Russian Federation,Central/Eastern Europe,Pop,False
slxughter,Russian Federation,Central/Eastern Europe,Electronic,False
Akmal',Russian Federation,Central/Eastern Europe,Pop,False
XANSANA,Poland,Central/Eastern Europe,Pop,False
Yzomandias,Czech Republic,Central/Eastern Europe,Hip Hop,False
Мot,Russian Federation,Central/Eastern Europe,Hip Hop,False
Basta (Баста),Russian Federation,Central/Eastern Europe,Hip Hop,False
Dani Mocanu,Romania,Central/Eastern Europe,European,True
TraLaLa - Cantece pentru copii,Romania,Central/Eastern Europe,Pop,False
Tzanca Uraganu,Romania,Central/Eastern Europe,European,False
ХАБИБ,Russian Federation,Central/Eastern Europe,Pop,False
Rauf & Faik,Russian Federation,Central/Eastern Europe,Pop,False
LooLoo Kids,Romania,Central/Eastern Europe,Pop,False
Inna,Romania,Central/Eastern Europe,Pop,False
Emin,Russian Federation,Central/Eastern Europe,Pop,False
Holy Baam,Ukraine,Central/Eastern Europe,Pop,False
Sanah,Poland,Central/Eastern Europe,Pop,False
Gazan,Russian Federation,Central/Eastern Europe,Hip Hop,False
MIA BOYKA,Russian Federation,Central/Eastern Europe,Hip Hop,False
kirkiimad,Russian Federation,Central/Eastern Europe,Hip Hop,False
MORGENSHTERN,Russian Federation,Central/Eastern Europe,Hip Hop,False
Egor Kreed,Russian Federation,Central/Eastern Europe,Hip Hop,False
Татьяна Куртукова,Russian Federation,Central/Eastern Europe,Pop,False
Malik Montana,Poland,Central/Eastern Europe,Hip Hop,False
t.A.T.u.,Russian Federation,Central/Eastern Europe,Pop,False
Fizistyle,Czech Republic,Central/Eastern Europe,Pop,False
Lady Diana,Ukraine,Central/Eastern Europe,European,False
Bedoes,Poland,Central/Eastern Europe,Hip Hop,False
Tiakola,France,France,Hip Hop,True
David Guetta,France,France,Electronic,False
Manu Chao,France,France,Reggae,False
Dadju,France,France,R&B,True
Bigflo & Oli,France,France,Hip Hop,False
DJ Snake,France,France,Electronic,False
Jul,France,France,Hip Hop,False
Indila,France,France,Pop,True
Squeezie,France,France,Pop,False
Niska,France,France,Hip Hop,False
RnBoi,France,France,R&B,False
Ninho,France,France,Hip Hop,False
Daft Punk,France,France,Electronic,False
GIMS,France,France,Pop,False
Tayc,France,France,R&B,False
Werenoi,France,France,Hip Hop,False
HUGEL,France,France,Electronic,False
Lacrim,France,France,Hip Hop,False
PNL,France,France,Hip Hop,False
Naza,France,France,Hip Hop,False
PLK,France,France,Hip Hop,False
Kidi Fun,France,France,Pop,False
Naps,France,France,Hip Hop,False
La Fouine,France,France,Hip Hop,False
Booba,France,France,Hip Hop,False
