region,name
Central/Eastern Europe,Eva Svobodová
Central/Eastern Europe,Mészáros Adrienn
Central/Eastern Europe,Pavel Novotný
Central/Eastern Europe,Kiss Gergő
France,Vanessa Dubois
France,Valérie Favre
France,Etienne Perrin
France,Kevin Fournier
Germany,Laura Wagner
Germany,Katharina Meyer
Germany,Sebastian Schmidt
Germany,Patrick Schulz
Hispanic Countries,Andrea Fernández Ortiz
Hispanic Countries,Paula Morales Marín
Hispanic Countries,Javier Nuñez Delgado
Hispanic Countries,Xavier Martí Roca
MENA,Rachida El Moussaoui
MENA,Fatma Yilmaz
MENA,Bilal Öztürk
MENA,Muhammad Ahmed
South/Central Asia,Ayesha Khan
South/Central Asia,Aisha Raja
South/Central Asia,Ahmad Iqbal
South/Central Asia,Zahid Rashid
Sub-Saharan Africa,Anne Mwamba
Sub-Saharan Africa,Tabara Ndiaye
Sub-Saharan Africa,Michael Mbombo
Sub-Saharan Africa,Tambwe Umba
United Kingdom / North America,Patricia Wilson
United Kingdom / North America,Elizabeth Wright
United Kingdom / North America,Robert Taylor
United Kingdom / North America,Michael Johnson
