attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Building and related trades workers,Business and administration associate professionals,Business and administration professionals,"Chief executives, senior officials and legislators",Commissioned armed forces officers,Customer services clerks,Drivers and mobile plant operators,Electrical and electronic trades workers,"Food processing, woodworking, garment and other craft workers",Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technicians,Information and communications technology professionals,"Legal, social and cultural professionals","Legal, social, cultural and related associate professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Other clerical support workers,Personal care workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Stationary plant and machine operators,Teaching professionals,Total
Central/Eastern Europe,3,3,3,0,104,0,9,0,0,0,0,16,15,99,13,2,36,7,1,0,1,13,0,0,18,3,37,9,18,24,0,11,445
France,16,6,1,0,83,0,7,0,0,0,0,14,11,103,9,0,32,18,0,1,1,4,0,0,28,6,43,7,15,28,1,17,451
Germany,11,8,1,0,86,2,9,0,0,2,0,11,11,110,12,1,38,14,1,1,2,6,0,0,17,3,44,6,12,32,0,20,460
Hispanic Countries,14,6,2,0,101,0,4,0,0,1,0,8,14,112,9,2,35,17,0,0,1,7,0,0,13,5,33,11,11,34,0,14,454
MENA,14,3,1,0,91,0,10,0,0,0,0,10,16,111,13,5,32,22,1,0,1,7,0,0,16,1,39,6,10,32,0,16,457
South/Central Asia,8,9,0,0,96,0,8,0,0,0,1,13,16,96,10,2,42,14,0,0,1,6,0,0,21,7,35,10,16,30,0,14,455
Sub-Saharan Africa,15,4,3,2,104,0,7,1,1,0,0,12,26,89,6,2,37,9,0,0,2,8,1,0,18,2,39,12,12,27,0,15,454
United Kingdom / North America,12,7,0,0,78,0,7,0,0,1,0,12,16,115,6,1,33,20,0,0,4,5,0,1,19,2,45,8,17,24,0,23,456
Unknown,2,0,0,0,17,0,1,0,0,0,0,2,1,22,1,0,6,2,0,0,0,1,0,0,2,0,8,1,4,3,0,3,76
Total,95,46,11,2,760,2,62,1,1,4,1,98,126,857,79,15,291,123,3,2,13,57,1,1,152,29,323,70,115,234,1,133,3708
