attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Building and related trades workers,Business and administration associate professionals,Business and administration professionals,"Chief executives, senior officials and legislators",Commissioned armed forces officers,Customer services clerks,Electrical and electronic trades workers,"Food processing, woodworking, garment and other craft workers",Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technology professionals,"Legal, social and cultural professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Personal care workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Teaching professionals,Total
Central/Eastern Europe,10,4,5,1,179,0,4,0,0,0,1,8,46,3,29,5,1,0,1,0,51,0,5,15,5,35,20,428
France,13,3,2,0,196,0,2,0,0,0,3,12,39,4,24,13,4,0,0,1,48,1,3,7,10,31,17,433
Germany,10,3,1,0,195,0,1,0,0,0,5,9,48,6,31,9,5,0,5,0,33,0,9,4,6,32,17,429
Hispanic Countries,14,3,2,0,180,0,5,0,0,0,3,6,54,6,28,6,5,1,0,0,54,0,6,7,6,27,16,429
MENA,15,2,2,0,191,1,3,0,1,1,5,13,47,3,34,4,6,1,1,1,45,0,7,7,4,24,13,431
South/Central Asia,4,3,1,0,184,0,4,0,2,0,7,9,46,6,36,9,1,0,1,1,49,0,4,6,7,34,18,432
Sub-Saharan Africa,14,3,3,1,177,0,1,1,0,1,5,9,49,5,29,11,4,0,3,0,41,0,7,4,3,34,21,426
United Kingdom / North America,15,2,0,0,188,1,2,0,0,0,4,7,51,6,22,10,1,3,1,0,41,0,6,7,5,38,17,427
Unknown,2,1,1,0,30,0,0,0,0,0,0,1,6,2,1,0,1,0,0,0,7,0,0,1,0,5,6,64
Total,97,24,17,2,1520,2,22,1,3,2,33,74,386,41,234,67,28,5,12,3,369,1,47,58,46,260,145,3499
