attribute_value,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Journalism and information,Languages,Manufacturing and processing,Mathematics and statistics,Personal services,Personal skills and development,Physical sciences,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,117,3,30,4,38,40,18,11,1,2,0,8,0,8,0,193,1,474
France,125,2,34,2,33,36,14,12,1,3,0,4,0,6,0,202,0,474
Germany,120,1,26,2,33,36,21,13,2,1,0,2,0,7,3,206,1,474
Hispanic Countries,128,1,32,1,33,31,17,9,0,1,0,4,1,5,0,208,3,474
MENA,135,2,36,0,34,38,22,13,0,0,0,4,0,7,0,183,0,474
South/Central Asia,129,0,42,1,34,33,18,16,1,2,0,3,0,6,0,188,1,474
Sub-Saharan Africa,117,1,39,1,34,41,18,14,3,2,1,3,0,8,0,191,1,474
United Kingdom / North America,115,1,35,2,37,35,15,8,0,0,0,3,0,4,0,216,2,473
Unknown,16,0,6,0,6,6,4,3,0,2,0,1,0,1,0,32,0,77
Total,1002,11,280,13,282,296,147,99,8,13,1,32,1,52,3,1619,9,3868
