attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Assemblers,Building and related trades workers,Business and administration associate professionals,Business and administration professionals,Commissioned armed forces officers,Drivers and mobile plant operators,Electrical and electronic trades workers,"Food processing, woodworking, garment and other craft workers",Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technicians,Information and communications technology professionals,"Legal, social and cultural professionals","Legal, social, cultural and related associate professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Other clerical support workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Teaching professionals,Total
Central/Eastern Europe,6,3,0,3,1,97,5,0,1,0,26,8,41,13,2,34,40,0,2,8,0,1,67,3,43,4,3,23,12,446
France,13,3,0,2,0,76,4,0,2,0,32,18,60,10,1,34,47,1,0,6,3,1,63,2,29,5,6,20,6,444
Germany,9,6,0,3,1,86,4,0,1,0,31,10,63,18,3,35,38,2,0,11,1,0,39,3,35,4,8,24,11,446
Hispanic Countries,7,0,1,4,0,126,7,2,0,1,22,10,45,4,2,39,52,0,1,1,1,1,45,3,32,5,5,21,6,443
MENA,10,4,0,4,0,85,4,1,1,0,28,12,58,11,1,42,55,2,1,5,4,0,50,1,35,4,4,22,9,453
South/Central Asia,8,6,1,2,1,105,2,0,0,0,23,11,51,5,2,35,51,1,0,12,3,1,54,2,32,6,7,20,10,451
Sub-Saharan Africa,16,0,0,3,1,96,4,1,0,0,23,18,50,9,3,42,47,2,0,6,2,1,58,3,36,6,3,12,4,446
United Kingdom / North America,9,6,0,4,0,92,5,0,0,1,28,11,58,2,1,38,36,0,0,6,4,2,57,2,33,8,10,21,12,446
Unknown,2,1,0,0,0,16,1,0,0,0,4,0,13,3,0,5,4,0,0,1,1,0,9,0,6,1,1,4,3,75
Total,80,29,2,25,4,779,36,4,5,2,217,98,439,75,15,304,370,8,4,56,19,7,442,19,281,43,47,167,73,3650
