attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Assemblers,Building and related trades workers,Business and administration professionals,"Chief executives, senior officials and legislators",Commissioned armed forces officers,Customer services clerks,Drivers and mobile plant operators,Electrical and electronic trades workers,Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technicians,Information and communications technology professionals,"Legal, social and cultural professionals","Legal, social, cultural and related associate professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Other clerical support workers,Personal care workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Teaching professionals,Total
Central/Eastern Europe,2,33,0,0,113,0,9,0,1,1,9,20,49,4,0,27,29,0,5,1,8,0,0,60,1,10,6,0,44,31,463
France,2,24,1,2,125,1,11,0,1,0,10,17,51,1,0,28,27,0,5,0,9,0,0,49,2,8,2,2,53,27,458
Germany,4,33,0,2,117,0,8,0,1,0,7,21,48,5,0,35,21,0,1,1,7,0,1,50,2,9,5,2,49,28,457
Hispanic Countries,0,25,0,0,137,0,10,0,1,0,7,22,53,1,0,35,28,0,3,1,9,2,0,43,3,6,4,2,42,19,453
MENA,0,28,0,1,129,0,7,0,0,0,6,18,38,2,1,37,44,1,5,1,14,0,0,54,0,7,2,3,45,21,464
South/Central Asia,2,26,0,3,136,0,9,1,0,0,8,13,41,3,0,44,23,0,5,2,6,0,0,71,1,7,2,3,46,13,465
Sub-Saharan Africa,2,30,0,2,119,2,11,0,0,2,5,13,50,4,0,30,30,0,3,1,10,1,0,57,1,10,4,0,46,23,456
United Kingdom / North America,0,31,0,3,108,2,10,0,0,0,9,20,54,2,1,29,28,0,4,1,13,0,0,56,1,9,3,1,44,34,463
Unknown,0,7,0,1,18,1,2,0,1,1,1,1,12,0,0,6,1,0,0,0,2,0,0,5,0,1,2,0,6,6,74
Total,12,237,1,14,1002,6,77,1,5,4,62,145,396,22,2,271,231,1,31,8,78,3,1,445,11,67,30,13,375,202,3753
