attribute_value,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Journalism and information,Languages,Law,Manufacturing and processing,Mathematics and statistics,Personal services,Personal skills and development,Physical sciences,Security services,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,193,2,33,1,38,34,6,16,2,1,1,0,2,2,11,0,0,131,0,473
France,213,2,38,3,35,25,7,11,2,0,0,1,0,0,11,0,0,125,1,474
Germany,193,2,34,4,39,29,9,16,1,4,0,1,1,1,12,0,0,125,3,474
Hispanic Countries,217,5,33,3,31,37,6,14,1,1,0,0,0,0,12,3,0,109,2,474
MENA,194,1,39,0,31,24,13,21,0,2,0,0,0,2,11,0,0,136,0,474
South/Central Asia,192,1,38,3,34,33,10,20,2,0,0,2,1,3,9,0,0,126,0,474
Sub-Saharan Africa,196,0,45,10,36,37,5,19,3,1,0,0,1,1,4,0,0,114,2,474
United Kingdom / North America,190,0,35,4,31,34,4,14,1,0,0,1,1,5,14,0,1,138,1,474
Unknown,26,0,5,1,7,9,1,1,1,0,0,0,0,1,2,0,0,23,0,77
Total,1614,13,300,29,282,262,61,132,13,9,1,5,6,15,86,3,1,1027,9,3868
