attribute_value,Agriculture,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Environment,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Journalism and information,Languages,Law,Manufacturing and processing,Mathematics and statistics,Personal services,Personal skills and development,Physical sciences,Security services,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,0,962,14,210,10,200,0,358,62,85,18,10,1,2,13,11,29,4,0,837,17,2843
France,0,1019,13,194,10,198,0,324,68,64,28,11,0,4,6,12,30,1,0,841,21,2844
Germany,0,958,9,162,12,211,0,349,70,76,21,26,0,1,6,11,33,3,0,876,18,2842
Hispanic Countries,0,1084,13,194,9,190,0,326,49,54,23,8,0,1,5,10,23,3,0,827,24,2843
MENA,0,970,7,194,4,191,0,284,85,81,19,9,0,1,5,7,26,2,0,947,12,2844
South/Central Asia,0,1050,4,214,8,204,0,313,60,81,21,12,0,3,4,18,32,0,0,805,14,2843
Sub-Saharan Africa,0,1019,11,229,18,187,0,352,67,80,23,6,0,6,4,9,22,2,0,785,24,2844
United Kingdom / North America,1,934,10,202,10,200,1,352,60,70,32,11,0,3,5,17,32,1,1,880,21,2843
Unknown,0,131,2,25,1,36,0,56,13,10,5,4,0,0,1,2,5,1,0,167,3,462
Total,1,8127,83,1624,82,1617,1,2714,534,601,190,97,1,21,49,97,232,17,1,6965,154,23208
