attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Building and related trades workers,Business and administration associate professionals,Business and administration professionals,Commissioned armed forces officers,Drivers and mobile plant operators,Electrical and electronic trades workers,"Food processing, woodworking, garment and other craft workers",General and keyboard clerks,Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technicians,Information and communications technology professionals,"Laborers in mining, construction, manufacturing and transport","Legal, social and cultural professionals","Legal, social, cultural and related associate professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Other clerical support workers,Personal care workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Teaching professionals,Total
Central/Eastern Europe,4,14,3,0,96,6,2,0,0,0,21,22,32,7,0,32,0,15,1,4,2,8,0,1,116,2,24,2,3,20,16,453
France,5,11,4,0,94,7,2,1,1,1,18,15,45,7,1,33,0,26,0,1,2,3,1,0,106,1,22,0,5,24,13,449
Germany,3,10,5,0,90,5,1,0,0,0,23,12,46,15,0,26,0,24,0,5,1,8,1,0,88,3,30,4,9,29,19,457
Hispanic Countries,3,3,4,1,118,5,0,1,0,0,18,14,36,5,1,33,0,21,1,1,0,8,0,2,94,3,29,7,4,22,17,451
MENA,1,7,4,2,93,7,1,0,0,0,22,24,46,12,2,30,0,25,1,8,1,10,2,3,96,1,23,5,2,10,20,458
South/Central Asia,0,9,2,0,113,6,2,0,1,0,8,12,37,7,2,42,0,20,1,2,0,5,0,0,111,0,25,10,2,17,12,446
Sub-Saharan Africa,4,13,5,0,103,6,0,0,0,0,20,17,45,6,1,35,0,21,1,2,1,3,0,1,111,2,20,3,3,16,16,455
United Kingdom / North America,4,13,4,0,97,10,2,1,0,0,18,11,60,7,1,26,1,13,0,4,2,6,2,2,92,1,28,4,3,22,23,457
Unknown,0,4,0,0,15,2,0,0,0,0,5,0,12,1,0,3,0,3,0,1,0,1,0,0,10,0,7,0,2,4,6,76
Total,24,84,31,3,819,54,10,3,2,1,153,127,359,67,8,260,1,168,5,28,9,52,6,9,824,13,208,35,33,164,142,3702
