attribute_value,Agriculture,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Environment,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Journalism and information,Languages,Manufacturing and processing,Mathematics and statistics,Personal services,Personal skills and development,Physical sciences,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,0,200,0,38,3,30,0,72,8,9,2,0,1,1,1,3,0,105,1,474
France,0,200,1,33,0,31,0,54,10,10,2,1,2,0,3,1,0,122,4,474
Germany,0,190,0,29,3,33,0,74,7,8,3,8,0,1,2,2,0,112,1,473
Hispanic Countries,0,225,1,32,0,30,0,65,3,3,4,4,0,0,1,0,0,102,3,473
MENA,0,207,1,30,2,30,0,46,9,6,4,3,0,1,3,3,2,123,4,474
South/Central Asia,0,226,0,39,0,30,0,62,3,1,1,4,1,0,3,5,0,96,3,474
Sub-Saharan Africa,0,218,1,41,1,34,0,65,5,7,1,1,0,0,3,3,0,92,2,474
United Kingdom / North America,1,184,0,32,1,33,1,68,10,4,5,3,0,1,4,5,0,117,5,474
Unknown,0,25,0,4,0,6,0,12,2,1,1,1,0,0,0,0,0,25,0,77
Total,1,1675,4,278,10,257,1,518,57,49,23,25,4,4,20,22,2,894,23,3867
