attribute_value,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Languages,Manufacturing and processing,Mathematics and statistics,Personal services,Personal skills and development,Physical sciences,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,106,4,32,0,34,60,9,21,3,0,0,2,3,3,195,2,474
France,107,3,29,2,35,57,17,16,0,0,0,2,9,1,192,4,474
Germany,100,2,22,1,43,52,11,18,1,0,1,3,6,0,211,3,474
Hispanic Countries,109,3,27,3,39,57,8,15,0,0,1,4,2,0,202,4,474
MENA,101,1,31,1,35,46,8,16,0,1,0,1,4,0,226,3,474
South/Central Asia,107,0,29,0,44,47,12,23,1,0,0,4,4,0,201,2,474
Sub-Saharan Africa,101,4,31,3,32,60,18,21,0,1,0,3,4,2,191,3,474
United Kingdom / North America,105,4,31,3,38,49,9,20,2,0,0,2,5,0,203,3,474
Unknown,18,0,2,0,6,10,1,2,0,0,0,0,0,0,37,1,77
Total,854,21,234,13,306,438,93,152,7,2,2,21,37,6,1658,25,3869
