attribute_value,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Journalism and information,Languages,Manufacturing and processing,Mathematics and statistics,Personal services,Personal skills and development,Physical sciences,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,152,5,42,2,30,51,14,14,1,2,0,2,2,1,1,151,4,474
France,179,3,28,0,34,64,15,11,4,4,0,2,1,0,0,124,5,474
Germany,176,3,18,1,32,63,14,12,1,4,0,1,1,2,0,142,4,474
Hispanic Countries,204,1,32,2,27,50,9,4,1,0,0,0,2,1,0,138,3,474
MENA,140,1,23,0,30,54,21,11,0,2,0,0,1,0,0,190,1,474
South/Central Asia,171,3,33,1,30,70,11,10,4,3,0,0,3,5,0,127,2,473
Sub-Saharan Africa,186,5,34,2,23,60,15,11,1,0,1,0,2,1,0,127,6,474
United Kingdom / North America,177,5,32,0,30,70,13,10,0,1,0,0,2,2,1,130,1,474
Unknown,20,2,3,0,6,8,4,2,0,0,0,0,1,0,1,30,0,77
Total,1405,28,245,8,242,490,116,85,12,16,1,5,15,12,3,1159,26,3868
