attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Building and related trades workers,Business and administration associate professionals,Business and administration professionals,"Chief executives, senior officials and legislators",Commissioned armed forces officers,Customer services clerks,Drivers and mobile plant operators,Electrical and electronic trades workers,"Food processing, woodworking, garment and other craft workers",Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technicians,Information and communications technology professionals,"Legal, social and cultural professionals","Legal, social, cultural and related associate professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Other clerical support workers,Personal care workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Stationary plant and machine operators,Teaching professionals,Total
Central/Eastern Europe,5,14,3,1,63,0,1,0,2,0,0,22,2,18,18,1,25,39,1,0,8,3,4,0,142,0,21,9,2,14,1,12,431
France,3,12,3,0,62,0,3,2,0,1,2,26,7,20,17,0,28,53,2,0,7,1,0,0,128,0,20,5,5,15,1,11,434
Germany,3,10,4,0,67,0,6,0,1,1,1,22,3,17,14,1,33,43,1,2,6,0,2,1,146,1,15,6,2,18,1,9,436
Hispanic Countries,3,13,3,0,60,0,5,0,0,2,1,21,4,12,9,0,31,38,1,0,6,1,1,0,166,0,17,6,0,15,0,8,423
MENA,3,11,2,0,67,1,3,0,0,3,1,19,3,18,10,1,39,45,0,0,9,1,0,0,150,0,13,2,2,17,0,13,433
South/Central Asia,3,15,0,0,66,0,6,0,0,3,3,25,2,18,12,0,31,32,0,0,5,1,2,0,146,1,9,5,1,14,0,12,412
Sub-Saharan Africa,1,9,2,0,64,0,4,0,2,1,2,21,2,15,9,1,37,31,0,1,7,1,3,0,153,1,17,6,2,16,0,14,422
United Kingdom / North America,7,10,3,0,73,0,8,0,2,0,0,19,5,29,18,3,26,27,0,1,4,1,1,0,146,1,17,6,0,15,0,17,439
Unknown,0,2,0,0,14,0,1,0,0,1,0,7,1,6,2,0,5,6,0,0,0,0,0,0,18,0,5,1,0,3,0,2,74
Total,28,96,20,1,536,1,37,2,7,12,10,182,29,153,109,7,255,314,5,4,52,9,13,1,1195,4,134,46,14,127,3,98,3504
