attribute_value,Arts,Biological and related sciences,Business and administration,Education,Engineering and engineering trades,Health,Humanities (except languages),Information and Communication Technologies (ICTs),Journalism and information,Languages,Manufacturing and processing,Personal services,Personal skills and development,Social and behavioural sciences,Welfare,Total
Central/Eastern Europe,194,0,35,0,30,101,7,14,12,2,1,4,3,62,9,474
France,195,2,32,3,30,88,5,4,19,3,1,6,3,76,7,474
Germany,179,1,33,1,31,95,8,9,14,8,0,4,4,80,6,473
Hispanic Countries,201,2,38,0,30,86,6,9,17,2,1,2,3,68,9,474
MENA,193,1,35,1,31,76,12,14,15,2,0,0,1,89,4,474
South/Central Asia,225,0,33,3,32,68,6,11,13,2,0,5,3,67,6,474
Sub-Saharan Africa,201,0,39,1,28,89,6,8,15,2,3,0,2,70,10,474
United Kingdom / North America,163,0,37,0,31,96,9,14,26,5,2,4,2,76,9,474
Unknown,26,0,5,0,5,11,1,1,3,1,0,0,2,20,2,77
Total,1577,6,287,9,248,710,60,84,134,27,8,25,23,608,62,3868
