attribute_value,Administrative and commercial managers,"Armed forces occupations, other ranks",Assemblers,Building and related trades workers,Business and administration associate professionals,Business and administration professionals,"Chief executives, senior officials and legislators",Commissioned armed forces officers,Customer services clerks,Drivers and mobile plant operators,Electrical and electronic trades workers,"Food processing, woodworking, garment and other craft workers",General and keyboard clerks,Handicraft and printing workers,Health associate professionals,Health professionals,"Hospitality, retail and other services managers",Information and communications technicians,Information and communications technology professionals,"Laborers in mining, construction, manufacturing and transport","Legal, social and cultural professionals","Legal, social, cultural and related associate professionals",Market-oriented skilled agricultural workers,"Metal, machinery and related trades workers",Non-commissioned armed forces officers,Other clerical support workers,Personal care workers,Personal service workers,Production and specialized services managers,Protective services workers,Sales workers,Science and engineering associate professionals,Science and engineering professionals,Stationary plant and machine operators,Teaching professionals,Total
Central/Eastern Europe,30,71,0,17,3,652,0,34,0,5,2,0,0,95,75,285,58,5,183,0,135,3,12,20,33,5,1,454,9,140,45,31,160,1,102,2666
France,52,59,1,14,0,636,1,34,2,3,4,3,1,103,80,318,48,2,179,0,184,3,11,16,20,2,1,422,12,125,26,43,171,2,91,2669
Germany,40,70,0,16,1,641,2,33,0,3,4,1,0,99,66,332,70,5,198,0,149,4,14,21,27,3,2,373,12,142,29,39,184,1,104,2685
Hispanic Countries,41,50,1,15,1,722,0,36,0,3,4,2,0,79,70,312,34,5,201,0,162,2,10,10,26,4,2,415,14,123,40,28,161,0,80,2653
MENA,43,55,0,14,2,656,2,34,0,2,5,2,0,90,86,318,51,10,214,0,195,5,20,18,37,2,4,411,3,124,26,25,150,0,92,2696
South/Central Asia,25,68,1,8,1,700,0,35,1,2,5,5,0,84,63,289,43,6,230,0,149,2,8,20,22,3,1,452,11,112,39,36,161,0,79,2661
Sub-Saharan Africa,52,59,0,18,4,663,2,33,2,4,3,3,0,86,85,298,39,7,210,0,149,3,10,17,27,6,1,438,9,129,35,23,151,0,93,2659
United Kingdom / North America,47,69,0,14,0,636,3,42,0,4,2,1,0,90,70,367,41,7,174,1,134,0,10,20,30,5,3,411,7,138,36,36,164,0,126,2688
Unknown,6,15,0,2,0,110,1,7,0,1,2,0,0,19,4,71,9,0,26,0,16,0,2,1,5,0,0,51,0,27,6,7,25,0,26,439
Total,336,516,3,118,12,5416,11,288,5,27,31,17,1,745,599,2590,393,47,1615,1,1273,22,97,143,227,30,15,3427,77,1060,282,268,1327,4,793,21816
