Dimension_value,Indicator_name,Indicator_value
Male,Hobby,hiking
Male,Hobby,photography
Male,Hobby,traveling
Male,Hobby,swimming
Male,Hobby,cycling
Male,Hobby,writing
Male,Hobby,cooking
Male,Movie,documentary
Male,Movie,mystery
Male,Movie,historical
Male,Movie,biographical
Male,Movie,foreign
Female,Hobby,baking
Female,Hobby,journaling
Female,Hobby,budgeting
Female,Hobby,hiking
Female,Hobby,photography
Female,Hobby,traveling
Female,Hobby,swimming
Female,Movie,independent
Female,Movie,crime
Female,Movie,adventure
Female,Movie,cult
Female,Movie,international
Female,Movie,documentary
