phrase,target_type,dimension,dimension_value,configured_gender,indicator_name,histories_ablated,mean_effect_on_p_male,std_effect_on_p_male,median_effect_on_p_male
drama,Gender indicator,Gender,Female,Female,Movie,39,-0.1010415143760833,0.22473491717727734,-0.0013200507717101573
family,Gender indicator,Gender,Female,Female,Movie,32,-0.07324561943856675,0.20803090002891045,-3.306623148091603e-05
wellness,Gender indicator,Gender,Female,Female,Hobby,36,-0.06428629077046899,0.22904938792119967,-1.5150880017245072e-07
crafting,Gender indicator,Gender,Female,Female,Hobby,25,-0.058776214720714766,0.1727286406713991,-6.931145969701902e-05
romantic comedy,Gender indicator,Gender,Female,Female,Movie,27,-0.055468449649394506,0.1455755885289585,-0.0016702919092494994
romantic drama,Gender indicator,Gender,Female,Female,Movie,34,-0.0544794754101174,0.12332041944741286,-0.00027045914156964557
animation,Gender indicator,Gender,Female,Female,Movie,37,-0.04982297617664695,0.13099575694174564,-0.00015976268332451582
yoga,Gender indicator,Gender,Female,Female,Hobby,34,-0.031592591900389114,0.16856792479985658,-4.994060193652672e-05
reading,Gender indicator,Gender,Female,Female,Hobby,28,-0.030229975575424013,0.09563102652207385,-8.093348113913379e-08
comedy,Gender indicator,Gender,Female,Female,Movie,31,-0.023871007516232057,0.0590131066052593,-0.00021296624123579022
volunteering,Gender indicator,Gender,Female,Female,Hobby,25,-0.021098255800337914,0.08900939631250131,-1.7618735000723973e-05
social activities,Gender indicator,Gender,Female,Female,Hobby,29,-0.02096462250586251,0.06801403572049987,1.0099259387108539e-07
dance,Gender indicator,Gender,Female,Female,Hobby,23,-0.018751278267094204,0.07455212115210327,-7.716778213762154e-06
background,Neutral template control,Control,Control,Control,Fixed template word,400,-0.008343833497965967,0.08420215599830065,-4.76837158203125e-07
someone,Neutral template control,Control,Control,Control,Fixed template word,400,-0.0036159565282678037,0.018543787312778517,-1.0101743157520104e-05
Muhammad Ahmed,Region indicator,Region,MENA,Region,Name,8,-0.0030729249119758606,0.00586534126376159,-3.701448440551758e-05
Ahmet Kaya,Region indicator,Region,MENA,Region,Artist,10,-0.0030304430797500003,0.009097588441493111,-1.1239935986395722e-06
Didine Canon 16,Region indicator,Region,MENA,Region,Artist,11,-0.0014680300702544326,0.0031486024560596964,4.4448437108712824e-07
enjoy,Neutral template control,Control,Control,Control,Fixed template word,400,-0.0014678624662781386,0.007036578863735878,-5.574317754053482e-06
Linkin Park,Region indicator,Region,United Kingdom / North America,Region,Artist,18,-0.0008991363220253055,0.0038302963496570923,0.0
Aisha Raja,Region indicator,Region,South/Central Asia,Region,Name,9,-0.0004869495929840342,0.002085362913000732,1.2429354114829039e-06
Saad Lamjarred,Region indicator,Region,MENA,Region,Artist,18,-0.00047611901050379244,0.002511636467757337,0.0
Sebastian Schmidt,Region indicator,Region,Germany,Region,Name,15,-0.00046921968460083007,0.0012685785561367543,0.0
Tambwe Umba,Region indicator,Region,Sub-Saharan Africa,Region,Name,9,-0.0004215041796366374,0.0008083613597492979,0.0
Ayesha Khan,Region indicator,Region,South/Central Asia,Region,Name,10,-0.00037210038359818365,0.0013955239866137719,1.3050516240592502e-09
Elizabeth Wright,Region indicator,Region,United Kingdom / North America,Region,Name,12,-0.00034412046048703143,0.0009027711477737553,-5.453832372381839e-07
Michael Mbombo,Region indicator,Region,Sub-Saharan Africa,Region,Name,15,-0.00032637914021809897,0.004283727313698066,0.0
AnnenMayKantereit,Region indicator,Region,Germany,Region,Artist,22,-0.00029433255157350975,0.0008795451476903284,1.3232343576419225e-07
Adekunle Gold,Region indicator,Region,Sub-Saharan Africa,Region,Artist,15,-0.00027820346854620464,0.0040839192975280466,0.0
time,Neutral template control,Control,Control,Control,Fixed template word,400,-0.00023931706404758176,0.0046161857733893474,0.0
Tiakola,Region indicator,Region,France,Region,Artist,14,-0.0001386761234048858,0.0003892685747900192,-1.4901161193847656e-06
Mészáros Adrienn,Region indicator,Region,Central/Eastern Europe,Region,Name,16,-5.011629452935486e-05,0.0002188177052975547,-8.982436804994345e-11
