Dimension_value,Indicator_name,Indicator_value
Central/Eastern Europe,Name,<Name>
Central/Eastern Europe,Artist,<Artist>
France,Name,<Name>
France,Artist,<Artist>
Germany,Name,<Name>
Germany,Artist,<Artist>
Hispanic Countries,Name,<Name>
Hispanic Countries,Artist,<Artist>
MENA,Name,<Name>
MENA,Artist,<Artist>
South/Central Asia,Name,<Name>
South/Central Asia,Artist,<Artist>
Sub-Saharan Africa,Name,<Name>
Sub-Saharan Africa,Artist,<Artist>
United Kingdom / North America,Name,<Name>
United Kingdom / North America,Artist,<Artist>
