phrase,target_type,dimension,dimension_value,configured_gender,indicator_name,histories_containing,female_count,male_count,p_female_given_present,p_male_given_present,female_document_frequency,male_document_frequency
football,Gender indicator,Gender,Male,Male,Hobby,30,0,30,0.0,1.0,0.0,0.15
gaming,Gender indicator,Gender,Male,Male,Hobby,21,0,21,0.0,1.0,0.0,0.105
weight lifting,Gender indicator,Gender,Male,Male,Hobby,31,0,31,0.0,1.0,0.0,0.155
cars,Gender indicator,Gender,Male,Male,Hobby,34,0,34,0.0,1.0,0.0,0.17
investing,Gender indicator,Gender,Male,Male,Hobby,23,0,23,0.0,1.0,0.0,0.115
competitive sports,Gender indicator,Gender,Male,Male,Hobby,37,0,37,0.0,1.0,0.0,0.185
physical activities,Gender indicator,Gender,Male,Male,Hobby,24,0,24,0.0,1.0,0.0,0.12
action,Gender indicator,Gender,Male,Male,Movie,39,0,39,0.0,1.0,0.0,0.195
science fiction,Gender indicator,Gender,Male,Male,Movie,48,0,48,0.0,1.0,0.0,0.24
horror,Gender indicator,Gender,Male,Male,Movie,41,0,41,0.0,1.0,0.0,0.205
war,Gender indicator,Gender,Male,Male,Movie,36,0,36,0.0,1.0,0.0,0.18
thriller,Gender indicator,Gender,Male,Male,Movie,36,0,36,0.0,1.0,0.0,0.18
yoga,Gender indicator,Gender,Female,Female,Hobby,34,34,0,1.0,0.0,0.17,0.0
reading,Gender indicator,Gender,Female,Female,Hobby,28,28,0,1.0,0.0,0.14,0.0
crafting,Gender indicator,Gender,Female,Female,Hobby,25,25,0,1.0,0.0,0.125,0.0
dance,Gender indicator,Gender,Female,Female,Hobby,23,23,0,1.0,0.0,0.115,0.0
wellness,Gender indicator,Gender,Female,Female,Hobby,36,36,0,1.0,0.0,0.18,0.0
volunteering,Gender indicator,Gender,Female,Female,Hobby,25,25,0,1.0,0.0,0.125,0.0
social activities,Gender indicator,Gender,Female,Female,Hobby,29,29,0,1.0,0.0,0.145,0.0
romantic comedy,Gender indicator,Gender,Female,Female,Movie,27,27,0,1.0,0.0,0.135,0.0
romantic drama,Gender indicator,Gender,Female,Female,Movie,34,34,0,1.0,0.0,0.17,0.0
drama,Gender indicator,Gender,Female,Female,Movie,39,39,0,1.0,0.0,0.195,0.0
