word,dimension,n_female,n_male,fem_mean_p_male,mal_mean_p_male
documentary,Movie,18,16,0.6953999642285351,0.6915946982270816
mystery,Movie,11,18,0.7780585453081187,0.7594089170943092
historical,Movie,26,19,0.6188633228228669,0.5888280637409007
biographical,Movie,27,23,0.7263513707156896,0.7283990267754155
foreign,Movie,19,23,0.9330231443604182,0.953050003851483
independent,Movie,23,22,0.07852716305012333,0.06721577183665652
crime,Movie,19,20,0.6250102736242801,0.6295916706275559
adventure,Movie,21,21,0.43946208801356007,0.564652405425388
cult,Movie,17,23,0.5965635312558559,0.6158635315265052
international,Movie,19,15,0.4106974238386683,0.36418591393808714
hiking,Hobby,19,15,0.6614520652541261,0.777128047890039
photography,Hobby,19,18,0.6342406772132511,0.6360015506452857
traveling,Hobby,18,16,0.31362129856904086,0.21003045512357343
swimming,Hobby,14,23,0.6575556829091822,0.7182841851616509
cycling,Hobby,12,29,0.5873421649681895,0.6630151468303722
writing,Hobby,26,20,0.8085493528742921,0.8453496397292379
cooking,Hobby,24,15,0.4801915955633899,0.45011534993282504
baking,Hobby,23,25,0.9306275981028646,0.9131607547511664
journaling,Hobby,22,16,0.5429102760012636,0.4508393129244005
budgeting,Hobby,23,23,0.12815208971894976,0.18422978643521326
