phrase,dimension,slot,label_value,n_histories,p_male_full,p_male_no_movie,p_male_no_hobby,p_male_no_name,p_male_no_artist
romantic comedy,Gender,Movie,Female,27,0.0007647326634052334,0.06865285723335182,0.12508964631287328,0.0007426207872337116,0.0006868288519052998
dance,Gender,Hobby,Female,23,0.001231202515701198,0.05105873788831987,0.2005796893412477,0.0016818107331591813,0.0013025376707385774
wellness,Gender,Hobby,Female,34,0.0015345816508436129,0.03957660529964223,0.17645570794458362,0.0022002123554649717,0.0011549983429636032
comedy,Gender,Movie,Female,57,0.0019026373758274312,0.10130797903574726,0.15617316658186925,0.0026126462058768582,0.0018720076555942698
yoga,Gender,Hobby,Female,33,0.002568155734774931,0.049848208937781344,0.2225660445096394,0.0025718737296266322,0.002061460128788055
family,Gender,Movie,Female,32,0.003291948127715842,0.08732169487471231,0.12895683395070545,0.004256053592725698,0.0022863840112457463
volunteering,Gender,Hobby,Female,25,0.004070059171080397,0.11463027142849089,0.22396091810803878,0.006246357335182258,0.0033234764879721207
reading,Gender,Hobby,Female,28,0.004641878331744216,0.15519580882762402,0.1412823015788504,0.006370778035484804,0.0033406833744003194
romantic drama,Gender,Movie,Female,33,0.005060180060585891,0.12113830742305899,0.2111871855632708,0.006763553233601659,0.0040147896140110525
animation,Gender,Movie,Female,37,0.006034479184361068,0.10340397643376129,0.26982379359888164,0.007861754129258892,0.005692238323600939
drama,Gender,Movie,Female,70,0.006486414836915362,0.10842112835404322,0.20555365762018005,0.009404826950900745,0.005164021952923399
crafting,Gender,Hobby,Female,24,0.009241384297621448,0.21633129234865536,0.1440273740120142,0.013016642697076301,0.0101845470507514
social activities,Gender,Hobby,Female,29,0.009391640343736534,0.11779787096693552,0.2217805107303651,0.013415051548921485,0.0066776347989072
physical activities,Gender,Hobby,Male,24,0.9900387917192424,0.9589980282885021,0.8291587599760811,0.990619273589644,0.9839913685412499
investing,Gender,Hobby,Male,23,0.9913883853276736,0.9754407449450326,0.888846974647969,0.990438505525508,0.9846306019158593
gaming,Gender,Hobby,Male,20,0.9936168235123757,0.968747209372682,0.8313205159856782,0.9923694410111799,0.9877348704473692
