region,artist
Central/Eastern Europe,Timati
Central/Eastern Europe,Klava Koka
Central/Eastern Europe,Dani Mocanu
France,Tiakola
France,Dadju
France,Indila
Germany,Helene Fischer
Germany,AnnenMayKantereit
Germany,Rammstein
Hispanic Countries,Peso Pluma
Hispanic Countries,ROSALÍA
Hispanic Countries,Milo j
MENA,Saad Lamjarred
MENA,Ahmet Kaya
MENA,Didine Canon 16
South/Central Asia,Dhanda Nyoliwala
South/Central Asia,Guru Randhawa
South/Central Asia,Kishore Kumar
Sub-Saharan Africa,Adekunle Gold
Sub-Saharan Africa,Diamond Platnumz
Sub-Saharan Africa,Dunsin Oyekan
United Kingdom / North America,Dua Lipa
United Kingdom / North America,Linkin Park
United Kingdom / North America,Imagine Dragons
