perceived_region,selected_gender_group,rank,gender_fit,Name,intended_gender,intended_origin_mode,intended_region,origin_match,category_selected_count,n_total_evaluations,category_perception_pct,adjusted_perception_pct,dominant_perceived_gender,dominant_gender_count,dominant_gender_pct,source_country_counts
Central/Eastern Europe,Female,0,Not fit - wrong intended gender,Pavel Novotný,Male,Czech,Central/Eastern Europe,1,184,184,100.0,102.0,Male,181,98.4,"Czechia (183), Slovakia (9), Poland (2)"
Central/Eastern Europe,Female,0,Not fit - wrong intended gender,Kiss Gergő,Male,Hungary,Central/Eastern Europe,1,71,71,100.0,102.0,Male,67,94.4,"Hungary (67), Romania (7), Slovakia (2), Ukraine (2)"
Central/Eastern Europe,Female,1,Fit,Eva Svobodová,Female,Czech,Central/Eastern Europe,1,185,185,100.0,102.0,Female,178,96.2,"Czechia (175), Slovakia (17), Poland (2), Romania (2), Ukraine (1)"
Central/Eastern Europe,Female,2,Fit,Mészáros Adrienn,Female,Hungary,Central/Eastern Europe,1,87,87,100.0,102.0,Female,84,96.6,"Hungary (86), Slovakia (9), Romania (8), Ukraine (5), Czechia (3)"
Central/Eastern Europe,Female,3,Fit,Simon Renáta,Female,Hungary,Central/Eastern Europe,1,68,68,100.0,102.0,Female,67,98.5,"Hungary (61), Slovakia (9), Ukraine (7), Romania (6), Czechia (2), Poland (2), Russia (1)"
Central/Eastern Europe,Male,0,Not fit - wrong intended gender,Eva Svobodová,Female,Czech,Central/Eastern Europe,1,185,185,100.0,102.0,Female,178,96.2,"Czechia (175), Slovakia (17), Poland (2), Romania (2), Ukraine (1)"
Central/Eastern Europe,Male,0,Not fit - wrong intended gender,Mészáros Adrienn,Female,Hungary,Central/Eastern Europe,1,87,87,100.0,102.0,Female,84,96.6,"Hungary (86), Slovakia (9), Romania (8), Ukraine (5), Czechia (3)"
Central/Eastern Europe,Male,0,Not fit - wrong intended gender,Simon Renáta,Female,Hungary,Central/Eastern Europe,1,68,68,100.0,102.0,Female,67,98.5,"Hungary (61), Slovakia (9), Ukraine (7), Romania (6), Czechia (2), Poland (2), Russia (1)"
Central/Eastern Europe,Male,1,Fit,Pavel Novotný,Male,Czech,Central/Eastern Europe,1,184,184,100.0,102.0,Male,181,98.4,"Czechia (183), Slovakia (9), Poland (2)"
Central/Eastern Europe,Male,2,Fit,Kiss Gergő,Male,Hungary,Central/Eastern Europe,1,71,71,100.0,102.0,Male,67,94.4,"Hungary (67), Romania (7), Slovakia (2), Ukraine (2)"
Central/Eastern Europe,Male,3,Fit,Török Imre,Male,Hungary,Central/Eastern Europe,1,63,63,100.0,102.0,Male,61,96.8,"Hungary (58), Slovakia (6), Ukraine (4), Romania (3), Czechia (1)"
France,Female,0,Not fit - wrong intended gender,Etienne  Perrin,Male,CH-FR,France,1,87,126,69.0,71.0,Male,78,89.7,France (87)
France,Female,1,Fit,Vanessa  Dubois,Female,CH-FR,France,1,102,147,69.4,71.4,Female,101,99.0,France (102)
France,Female,2,Fit,Valérie Favre,Female,CH-FR,France,1,100,151,66.2,68.2,Female,96,96.0,France (100)
France,Female,3,Fit,Sandrine Pochon,Female,CH-FR,France,1,85,137,62.0,64.0,Female,82,96.5,France (85)
France,Male,0,Not fit - wrong intended gender,Françoise Fournier,Female,CH-FR,France,1,101,135,74.8,76.8,Female,63,62.4,France (101)
France,Male,0,Not fit - wrong intended gender,Vanessa  Dubois,Female,CH-FR,France,1,102,147,69.4,71.4,Female,101,99.0,France (102)
France,Male,0,Not fit - wrong intended gender,Valérie Favre,Female,CH-FR,France,1,100,151,66.2,68.2,Female,96,96.0,France (100)
France,Male,0,Not fit - wrong intended gender,Sandrine Pochon,Female,CH-FR,France,1,85,137,62.0,64.0,Female,82,96.5,France (85)
France,Male,0,Not fit - wrong intended gender,Chantal Perrin,Female,CH-FR,France,1,83,143,58.0,60.0,Female,80,96.4,France (83)
France,Male,0,Not fit - wrong intended gender,Anne  Fleury,Female,CH-FR,France,1,68,121,56.2,58.2,Female,63,92.6,France (68)
France,Male,1,Fit,Etienne  Perrin,Male,CH-FR,France,1,87,126,69.0,71.0,Male,78,89.7,France (87)
France,Male,2,Fit,Kevin Fournier,Male,CH-FR,France,1,72,125,57.6,59.6,Male,70,97.2,France (72)
France,Male,3,Fit,Jean Rosset,Male,CH-FR,France,1,84,150,56.0,58.0,Male,81,96.4,France (84)
Germany,Female,0,Not fit - wrong intended gender,Sebastian Schmidt,Male,Germany,Germany,1,63,74,85.1,87.1,Male,62,98.4,Germany (63)
Germany,Female,0,Not fit - wrong intended gender,Patrick Schulz,Male,Germany,Germany,1,55,65,84.6,86.6,Male,53,96.4,Germany (55)
Germany,Female,0,Not fit - wrong intended gender,Philipp Müller,Male,Germany,Germany,1,54,64,84.4,86.4,Male,53,98.1,Germany (54)
Germany,Female,0,Not fit - wrong intended gender,Maximilian Wagner,Male,Germany,Germany,1,63,77,81.8,83.8,Male,60,95.2,Germany (63)
Germany,Female,0,Not fit - wrong intended gender,Paul Schneider,Male,Germany,Germany,1,52,65,80.0,82.0,Male,52,100.0,Germany (52)
Germany,Female,0,Not fit - wrong intended gender,Martin Meyer,Male,Germany,Germany,1,48,60,80.0,82.0,Male,47,97.9,Germany (48)
Germany,Female,0,Not fit - wrong intended gender,Alexander Weber,Male,Germany,Germany,1,44,56,78.6,80.6,Male,43,97.7,Germany (44)
Germany,Female,1,Fit,Laura Wagner,Female,Germany,Germany,1,49,61,80.3,82.3,Female,48,98.0,Germany (49)
Germany,Female,2,Fit,Katharina Meyer,Female,Germany,Germany,1,59,76,77.6,79.6,Female,55,93.2,Germany (59)
Germany,Female,3,Fit,Anne Weber,Female,Germany,Germany,1,50,65,76.9,78.9,Female,49,98.0,Germany (50)
Germany,Male,0,Not fit - wrong intended gender,Julia Schmidt,Female,Germany,Germany,1,61,69,88.4,90.4,Female,61,100.0,Germany (61)
Germany,Male,1,Fit,Sebastian Schmidt,Male,Germany,Germany,1,63,74,85.1,87.1,Male,62,98.4,Germany (63)
Germany,Male,2,Fit,Patrick Schulz,Male,Germany,Germany,1,55,65,84.6,86.6,Male,53,96.4,Germany (55)
Germany,Male,3,Fit,Philipp Müller,Male,Germany,Germany,1,54,64,84.4,86.4,Male,53,98.1,Germany (54)
Hispanic Countries,Female,0,Not fit - wrong intended gender,Javier Nuñez Delgado,Male,Spain,Hispanic Countries,1,38,38,100.0,102.0,Male,38,100.0,"Spain (34), Colombia (2), Mexico (1), Venezuela (1)"
Hispanic Countries,Female,0,Not fit - wrong intended gender,Xavier Martí Roca,Male,Spain,Hispanic Countries,1,35,36,97.2,99.2,Male,35,100.0,Spain (35)
Hispanic Countries,Female,0,Not fit - wrong intended gender,Sergio Ramírez García,Male,Spain,Hispanic Countries,1,33,34,97.1,99.1,Male,33,100.0,"Spain (28), Mexico (2), Venezuela (2), Colombia (1)"
Hispanic Countries,Female,0,Not fit - wrong intended gender,Alejandro Morales Marín,Male,Spain,Hispanic Countries,1,35,37,94.6,96.6,Male,35,100.0,"Spain (23), Mexico (8), Colombia (5), Venezuela (5), Argentina (2), Peru (2), Brazil (1), Suriname (1)"
Hispanic Countries,Female,1,Fit,Andrea Fernández Ortiz,Female,Spain,Hispanic Countries,1,31,32,96.9,98.9,Female,28,90.3,"Spain (29), Argentina (1), Mexico (1), Venezuela (1)"
Hispanic Countries,Female,2,Fit,Paula Morales Marín,Female,Spain,Hispanic Countries,1,33,35,94.3,96.3,Female,31,93.9,"Spain (27), Mexico (2), Brazil (1), Colombia (1), Venezuela (1), Argentina (1)"
