Dimension value,Indicator_name,Indicator_value
Belgium,Name,Marc Goossens
Belgium,Name,Patrick Claes
Belgium,Name,Charlotte Mertens
Belgium,Name,Laura Goossens
Belgium,Name,Marie Claes
Belgium,Artist,Stromae
Belgium,Artist,Angèle
Belgium,Artist,Clouseau
Belgium,Artist,Hooverphonic
Belgium,Artist,Oscar and the Wolf
Central/Eastern Europe,Name,Anastasia Tkatschenko
Central/Eastern Europe,Name,Victoria Krawtschenko
Central/Eastern Europe,Name,Maxym Krawtschenko
Central/Eastern Europe,Name,Yuri Tkatschenko
Central/Eastern Europe,Name,Dmytro Kowaltschuk
Central/Eastern Europe,Artist,Karel Gott
Central/Eastern Europe,Artist,Ewa Farna
Central/Eastern Europe,Artist,Omega
Central/Eastern Europe,Artist,Sanah
Central/Eastern Europe,Artist,Carla's Dreams
Czechia,Name,Kateřina Procházková
Czechia,Name,Jan Dvořák
Czechia,Name,Lenka Veselá
Czechia,Name,Pavel Novotný
Czechia,Name,Josef Černý
Czechia,Artist,Karel Gott
Czechia,Artist,Lucie Bílá
Czechia,Artist,Kabát
Czechia,Artist,Chinaski
Czechia,Artist,Viktor Sheen
France,Name,Françoise Fournier
France,Name,Etienne Perrin
France,Name,Sandrine Pochon
France,Name,Vanessa Dubois
France,Name,François Kapinga
France,Artist,Johnny Hallyday
France,Artist,Jean-Jacques Goldman
France,Artist,Mylène Farmer
France,Artist,Indochine
France,Artist,Aya Nakamura
Germany,Name,Philipp Müller
Germany,Name,Julia Schmidt
Germany,Name,Sebastian Schmidt
Germany,Name,Patrick Schulz
Germany,Name,Paul Schneider
Germany,Artist,Herbert Grönemeyer
Germany,Artist,Helene Fischer
Germany,Artist,Peter Maffay
Germany,Artist,Rammstein
Germany,Artist,Die Toten Hosen
Hungary,Name,Kiss Gergő
Hungary,Name,Papp Zsófia
Hungary,Name,Török Imre
Hungary,Name,Mészáros Adrienn
Hungary,Name,Szilágyi Ádám
Hungary,Artist,Omega
Hungary,Artist,Ákos
Hungary,Artist,Halott Pénz
Hungary,Artist,Rózsa Magdi
Hungary,Artist,ByeAlex és a Slepp
Ireland,Name,Eoin Murphy
Ireland,Name,Patrick O'Connor
Ireland,Name,Sinead O'Sullivan
Ireland,Name,Brendan O'Brien
Ireland,Name,Aoife Byrne
Ireland,Artist,U2
Ireland,Artist,Westlife
Ireland,Artist,Boyzone
Ireland,Artist,The Cranberries
Ireland,Artist,Hozier
North Africa,Name,Amina Ahmed
North Africa,Name,Rachida El Moussaoui
North Africa,Name,Yasmina Mustafa
North Africa,Name,Muhammad Ahmed
North Africa,Name,Mohammad Butt
North Africa,Artist,Amr Diab
North Africa,Artist,ElGrandeToto
North Africa,Artist,Cheb Khaled
North Africa,Artist,Sherine Abdel-Wahab
North Africa,Artist,Saad Lamjarred
South America,Name,Christian Vargas Amador
South America,Name,Jairo Reyes Montoya
South America,Name,Jhonattan Flores Vargas
South America,Name,Selena Cortés Heredia
South America,Name,Ricardo Amador Motos
South America,Artist,Shakira
South America,Artist,Karol G
South America,Artist,Bizarrap
South America,Artist,Anitta
South America,Artist,Feid
South Asia,Name,Sakina Bakhash
South Asia,Name,Manahil Bhutt
South Asia,Name,Sakina Rashid
South Asia,Name,Ipek Sahin
South Asia,Name,Ayesha Khan
South Asia,Artist,Arijit Singh
South Asia,Artist,Diljit Dosanjh
South Asia,Artist,Sid Sriram
South Asia,Artist,AP Dhillon
South Asia,Artist,Atif Aslam
Spain,Name,Xavier Martí Roca
Spain,Name,Alvaro Martínez García
Spain,Name,Marta Núñez Delgado
Spain,Name,Andrea Fernández Ortiz
Spain,Name,Jordi Puig Solé
Spain,Artist,Rosalía
Spain,Artist,Alejandro Sanz
Spain,Artist,Aitana
Spain,Artist,Quevedo
Spain,Artist,Julio Iglesias
Sub-Saharan Africa,Name,Michael Mbombo
Sub-Saharan Africa,Name,Andre Mbongo
Sub-Saharan Africa,Name,Nkulu Monga
Sub-Saharan Africa,Name,Tambwe Umba
Sub-Saharan Africa,Name,Nogaye Kebe
Sub-Saharan Africa,Artist,Burna Boy
Sub-Saharan Africa,Artist,Wizkid
Sub-Saharan Africa,Artist,Davido
Sub-Saharan Africa,Artist,Tyla
Sub-Saharan Africa,Artist,Diamond Platnumz
Switzerland,Name,Luca Lüthi
Switzerland,Name,Sarah Lüthi
Switzerland,Name,Monika Zimmerli
Switzerland,Name,Nicole Suter
Switzerland,Name,Marco Gerber
Switzerland,Artist,DJ BoBo
Switzerland,Artist,Stephan Eicher
Switzerland,Artist,Patent Ochsner
Switzerland,Artist,Stress
Switzerland,Artist,Gölä
The Netherlands,Name,Tim van Dijk
The Netherlands,Name,Iris De Boer
The Netherlands,Name,Jeroen De Vries
The Netherlands,Name,Maaike De Vries
The Netherlands,Name,Jip de Jong
The Netherlands,Artist,Marco Borsato
The Netherlands,Artist,Anouk
The Netherlands,Artist,BLØF
The Netherlands,Artist,Guus Meeuwis
The Netherlands,Artist,André Hazes
Turkey,Name,Mehmet Özdemir
Turkey,Name,Hatice Öztürk
Turkey,Name,Bilal Öztürk
Turkey,Name,Layla Yilmaz
Turkey,Name,Özlem Yilmaz
Turkey,Artist,Tarkan
Turkey,Artist,Sezen Aksu
Turkey,Artist,Ajda Pekkan
Turkey,Artist,Sertab Erener
Turkey,Artist,Barış Manço
United Kingdom,Name,Susan Brown
United Kingdom,Name,Elizabeth Wright
United Kingdom,Name,Patricia Wilson
United Kingdom,Name,Robert Taylor
United Kingdom,Name,Peter Davies
United Kingdom,Artist,The Beatles
United Kingdom,Artist,Cliff Richard
United Kingdom,Artist,Elton John
United Kingdom,Artist,Queen
United Kingdom,Artist,David Bowie
United States of America,Name,Michael Johnson
United States of America,Name,Jennifer Johnson
United States of America,Name,Kelvin John
United States of America,Name,Lucky Joseph
United States of America,Name,Edith John
United States of America,Artist,Madonna
United States of America,Artist,Elvis Presley
United States of America,Artist,Mariah Carey
United States of America,Artist,Michael Jackson
United States of America,Artist,Taylor Swift
