Dimension_value,Indicator_name,Indicator_value
Male,Hobby,football
Male,Hobby,gaming
Male,Hobby,weight lifting
Male,Hobby,cars
Male,Hobby,investing
Male,Hobby,competitive sports
Male,Hobby,physical activities
Male,Movie,action
Male,Movie,science fiction
Male,Movie,horror
Male,Movie,war
Male,Movie,thriller
Female,Hobby,yoga
Female,Hobby,reading
Female,Hobby,crafting
Female,Hobby,dance
Female,Hobby,wellness
Female,Hobby,volunteering
Female,Hobby,social activities
Female,Movie,romantic comedy
Female,Movie,romantic drama
Female,Movie,drama
Female,Movie,family
Female,Movie,animation
Female,Movie,comedy
