Dimension value,Indicator_name,Indicator_value
France,Name,Etienne Perrin
France,Name,Kevin Fournier
France,Name,Françoise Fournier
France,Name,Vanessa Dubois
Germany,Name,Sebastian Schmidt
Germany,Name,Patrick Schulz
Germany,Name,Julia Schmidt
Germany,Name,Anna Müller
Spain,Name,Xavier Martí Roca
Spain,Name,Alvaro Martínez García
Spain,Name,Marta Nuñez Delgado
Spain,Name,Andrea Fernández Ortiz
United Kingdom,Name,Robert Taylor
United Kingdom,Name,Peter Davies
United Kingdom,Name,Elizabeth Wright
United Kingdom,Name,Mary Davies
Central/Eastern Europe,Name,Pavel Novotný
Central/Eastern Europe,Name,Kiss Gergő
Central/Eastern Europe,Name,Eva Svobodová
Central/Eastern Europe,Name,Mészáros Adrienn
North America,Name,Michael Johnson
North America,Name,Kelvin John
North America,Name,Jennifer Johnson
North America,Name,Edith John
North Africa,Name,Muhammad Ahmed
North Africa,Name,Yasir Ahmad
North Africa,Name,Amina Ahmed
North Africa,Name,Yasmina Mustafa
Middle East / Western Asia,Name,Yusuf Yilmaz
Middle East / Western Asia,Name,Bilal Öztürk
Middle East / Western Asia,Name,Yasemin Öztürk
Middle East / Western Asia,Name,Hatice Öztürk
Sub-Saharan Africa,Name,Michael Mbombo
Sub-Saharan Africa,Name,Nkulu Monga
Sub-Saharan Africa,Name,Josephine Mbombo
Sub-Saharan Africa,Name,Anne Mwamba
Latin America,Name,Christian Vargas Amador
Latin America,Name,Jhonattan Flores Vargas
Latin America,Name,Selena Cortés Heredia
Latin America,Name,Judit Ortega Ruiz
South/Central Asia,Name,Ahmad Iqbal
South/Central Asia,Name,Zahid Rashid
South/Central Asia,Name,Ayesha Khan
South/Central Asia,Name,Sakina Bakhash
France,Artist,Johnny Hallyday
France,Artist,Jean-Jacques Goldman
France,Artist,Mylène Farmer
Germany,Artist,Herbert Grönemeyer
Germany,Artist,Rammstein
Germany,Artist,Helene Fischer
Spain,Artist,Alejandro Sanz
Spain,Artist,Julio Iglesias
Spain,Artist,Mecano
United Kingdom,Artist,The Beatles
United Kingdom,Artist,Queen
United Kingdom,Artist,Elton John
Central/Eastern Europe,Artist,Karel Gott
Central/Eastern Europe,Artist,Lucie
Central/Eastern Europe,Artist,Viktor Sheen
North America,Artist,Taylor Swift
North America,Artist,Drake
North America,Artist,The Weeknd
North Africa,Artist,Amr Diab
North Africa,Artist,Cheb Khaled
North Africa,Artist,Soolking
Middle East / Western Asia,Artist,Tarkan
Middle East / Western Asia,Artist,Sezen Aksu
Middle East / Western Asia,Artist,İbrahim Tatlıses
Sub-Saharan Africa,Artist,Burna Boy
Sub-Saharan Africa,Artist,Wizkid
Sub-Saharan Africa,Artist,Davido
Latin America,Artist,Shakira
Latin America,Artist,J Balvin
Latin America,Artist,Karol G
South/Central Asia,Artist,Arijit Singh
South/Central Asia,Artist,A.R. Rahman
South/Central Asia,Artist,Lata Mangeshkar
