Dimension value,Indicator_name,Indicator_value
Central/Eastern Europe,Name,Eva Svobodová
Central/Eastern Europe,Name,Mészáros Adrienn
Central/Eastern Europe,Name,Pavel Novotný
Central/Eastern Europe,Name,Kiss Gergő
France,Name,Vanessa Dubois
France,Name,Valérie Favre
France,Name,Etienne Perrin
France,Name,Kevin Fournier
Germany,Name,Laura Wagner
Germany,Name,Katharina Meyer
Germany,Name,Sebastian Schmidt
Germany,Name,Patrick Schulz
Hispanic Countries,Name,Andrea Fernández Ortiz
Hispanic Countries,Name,Paula Morales Marín
Hispanic Countries,Name,Javier Nuñez Delgado
Hispanic Countries,Name,Xavier Martí Roca
MENA,Name,Rachida El Moussaoui
MENA,Name,Fatma Yilmaz
MENA,Name,Bilal Öztürk
MENA,Name,Muhammad Ahmed
South/Central Asia,Name,Ayesha Khan
South/Central Asia,Name,Aisha Raja
South/Central Asia,Name,Ahmad Iqbal
South/Central Asia,Name,Zahid Rashid
Sub-Saharan Africa,Name,Anne Mwamba
Sub-Saharan Africa,Name,Tabara Ndiaye
Sub-Saharan Africa,Name,Michael Mbombo
Sub-Saharan Africa,Name,Tambwe Umba
United Kingdom / North America,Name,Patricia Wilson
United Kingdom / North America,Name,Elizabeth Wright
United Kingdom / North America,Name,Robert Taylor
United Kingdom / North America,Name,Michael Johnson
Central/Eastern Europe,Artist,Timati
Central/Eastern Europe,Artist,Klava Koka
Central/Eastern Europe,Artist,Dani Mocanu
France,Artist,Tiakola
France,Artist,Dadju
France,Artist,Indila
Germany,Artist,Helene Fischer
Germany,Artist,AnnenMayKantereit
Germany,Artist,Rammstein
Hispanic Countries,Artist,Peso Pluma
Hispanic Countries,Artist,ROSALÍA
Hispanic Countries,Artist,Milo j
MENA,Artist,Saad Lamjarred
MENA,Artist,Ahmet Kaya
MENA,Artist,Didine Canon 16
South/Central Asia,Artist,Dhanda Nyoliwala
South/Central Asia,Artist,Guru Randhawa
South/Central Asia,Artist,Kishore Kumar
Sub-Saharan Africa,Artist,Adekunle Gold
Sub-Saharan Africa,Artist,Diamond Platnumz
Sub-Saharan Africa,Artist,Dunsin Oyekan
United Kingdom / North America,Artist,Dua Lipa
United Kingdom / North America,Artist,Linkin Park
United Kingdom / North America,Artist,Imagine Dragons
